DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1946-01-01,1946,1,1,BM12_DEV12,1946-01-01T00:00:00-02:00,
1946-02-01,1946,1,2,BM12_DEV12,1946-02-01T00:00:00-02:00,
1946-03-01,1946,1,3,BM12_DEV12,1946-03-01T00:00:00-03:00,
1946-04-01,1946,1,4,BM12_DEV12,1946-04-01T00:00:00-03:00,
1946-05-01,1946,1,5,BM12_DEV12,1946-05-01T00:00:00-03:00,
1946-06-01,1946,1,6,BM12_DEV12,1946-06-01T00:00:00-03:00,
1946-07-01,1946,1,7,BM12_DEV12,1946-07-01T00:00:00-03:00,
1946-08-01,1946,1,8,BM12_DEV12,1946-08-01T00:00:00-03:00,
1946-09-01,1946,1,9,BM12_DEV12,1946-09-01T00:00:00-03:00,
1946-10-01,1946,1,10,BM12_DEV12,1946-10-01T00:00:00-03:00,
1946-11-01,1946,1,11,BM12_DEV12,1946-11-01T00:00:00-03:00,
1946-12-01,1946,1,12,BM12_DEV12,1946-12-01T00:00:00-02:00,
1947-01-01,1947,1,1,BM12_DEV12,1947-01-01T00:00:00-02:00,
1947-02-01,1947,1,2,BM12_DEV12,1947-02-01T00:00:00-02:00,
1947-03-01,1947,1,3,BM12_DEV12,1947-03-01T00:00:00-03:00,
1947-04-01,1947,1,4,BM12_DEV12,1947-04-01T00:00:00-03:00,
1947-05-01,1947,1,5,BM12_DEV12,1947-05-01T00:00:00-03:00,
1947-06-01,1947,1,6,BM12_DEV12,1947-06-01T00:00:00-03:00,
1947-07-01,1947,1,7,BM12_DEV12,1947-07-01T00:00:00-03:00,
1947-08-01,1947,1,8,BM12_DEV12,1947-08-01T00:00:00-03:00,
1947-09-01,1947,1,9,BM12_DEV12,1947-09-01T00:00:00-03:00,
1947-10-01,1947,1,10,BM12_DEV12,1947-10-01T00:00:00-03:00,
1947-11-01,1947,1,11,BM12_DEV12,1947-11-01T00:00:00-03:00,
1947-12-01,1947,1,12,BM12_DEV12,1947-12-01T00:00:00-02:00,
1948-01-01,1948,1,1,BM12_DEV12,1948-01-01T00:00:00-02:00,
1948-02-01,1948,1,2,BM12_DEV12,1948-02-01T00:00:00-02:00,
1948-03-01,1948,1,3,BM12_DEV12,1948-03-01T00:00:00-03:00,
1948-04-01,1948,1,4,BM12_DEV12,1948-04-01T00:00:00-03:00,
1948-05-01,1948,1,5,BM12_DEV12,1948-05-01T00:00:00-03:00,
1948-06-01,1948,1,6,BM12_DEV12,1948-06-01T00:00:00-03:00,
1948-07-01,1948,1,7,BM12_DEV12,1948-07-01T00:00:00-03:00,
1948-08-01,1948,1,8,BM12_DEV12,1948-08-01T00:00:00-03:00,
1948-09-01,1948,1,9,BM12_DEV12,1948-09-01T00:00:00-03:00,
1948-10-01,1948,1,10,BM12_DEV12,1948-10-01T00:00:00-03:00,
1948-11-01,1948,1,11,BM12_DEV12,1948-11-01T00:00:00-03:00,
1948-12-01,1948,1,12,BM12_DEV12,1948-12-01T00:00:00-02:00,
1949-01-01,1949,1,1,BM12_DEV12,1949-01-01T00:00:00-02:00,
1949-02-01,1949,1,2,BM12_DEV12,1949-02-01T00:00:00-02:00,
1949-03-01,1949,1,3,BM12_DEV12,1949-03-01T00:00:00-03:00,
1949-04-01,1949,1,4,BM12_DEV12,1949-04-01T00:00:00-03:00,
1949-05-01,1949,1,5,BM12_DEV12,1949-05-01T00:00:00-03:00,
1949-06-01,1949,1,6,BM12_DEV12,1949-06-01T00:00:00-03:00,
1949-07-01,1949,1,7,BM12_DEV12,1949-07-01T00:00:00-03:00,
1949-08-01,1949,1,8,BM12_DEV12,1949-08-01T00:00:00-03:00,
1949-09-01,1949,1,9,BM12_DEV12,1949-09-01T00:00:00-03:00,
